CaseID,Age,MaritalStatus,Residence,EducationLevel,NumChild,WealthIndexCategorical,WealthIndexScore
    00050020 03,18,Married,Urban,Primary,0,Richest,16035
    00050026 01,36,Married,Urban,No Education,3,Richest,110101
    00050026 06,20,Single,Urban,Primary,0,Richest,110101
    00050026 07,16,Single,Urban,Primary,0,Richest,110101
    00050026 08,20,Other,Urban,Primary,0,Richest,110101
    00050043 01,35,Other,Urban,No Education,1,Richest,101618
    00050099 01,40,Married,Urban,No Education,3,Richest,122814
    00050099 05,17,Single,Urban,Higher,0,Richest,122814
    00050106 01,48,Married,Urban,No Education,5,Richest,17738
    00050136 02,28,Married,Urban,No Education,2,Richest,20333
    00050148 01,20,Married,Urban,Primary,0,Richest,102736
    00050148 04,23,Single,Urban,Secondary,0,Richest,102736
    00050168 02,30,Married,Urban,Primary,4,Richest,178428
    00050173 02,33,Married,Urban,Primary,4,Richest,110201
    00050173 08,25,Single,Urban,No Education,0,Richest,110201
    00050173 10,28,Single,Urban,Secondary,0,Richest,110201
    00050182 02,30,Married,Urban,Primary,3,Richest,87608
    00050213 02,40,Married,Urban,Primary,7,Richest,148314
    00050213 06,15,Single,Urban,Primary,0,Richest,148314
    00050228 02,29,Married,Urban,Secondary,3,Richest,186851
    00050228 03,19,Single,Urban,Secondary,0,Richest,186851
    00050228 08,19,Single,Urban,Secondary,0,Richest,186851
    00050228 10,18,Other,Urban,Primary,1,Richest,186851
    00050230 03,18,Married,Urban,Higher,0,Richest,115925
    00050236 02,36,Married,Urban,Secondary,4,Richest,170373
    00050236 07,28,Single,Urban,Primary,0,Richest,170373
    00050245 01,40,Married,Urban,Primary,3,Richest,62389
    00050281 05,35,Married,Urban,Primary,5,Richest,127688
    00050281 06,30,Single,Urban,No Education,0,Richest,127688
    00050318 04,18,Single,Urban,Secondary,0,Richest,86033
    00050318 05,22,Single,Urban,Higher,0,Richest,86033
    00050318 06,19,Single,Urban,Primary,0,Richest,86033
    00050318 07,23,Single,Urban,Higher,0,Richest,86033
    00050348 02,35,Married,Urban,No Education,5,Richest,48590
    00050348 09,17,Single,Urban,Secondary,0,Richest,48590
    00050385 02,32,Married,Urban,No Education,2,Richest,99748
    00050486 04,28,Single,Urban,Secondary,0,Richest,199112
    00050486 05,25,Single,Urban,Secondary,0,Richest,199112
    00060059 02,28,Married,Rural,Primary,4,Poorer,-57219
    00060094 02,45,Married,Rural,No Education,4,Poorer,-58994
    00060094 03,20,Single,Rural,Primary,0,Poorer,-58994
    00060123 02,30,Married,Rural,Primary,7,Poorer,-51325
    00060152 02,22,Married,Rural,Primary,2,Middle,-33966
    00060198 01,32,Married,Rural,No Education,3,Poorest,-70213
    00060206 01,24,Married,Rural,Primary,2,Poorest,-73222
    00060223 02,19,Married,Rural,Primary,2,Poorest,-69810
    00060243 01,24,Married,Rural,Primary,2,Richer,-23896
    00060252 02,23,Married,Rural,Primary,3,Middle,-43877
    00060267 02,32,Married,Rural,Primary,3,Middle,-44111
    00060292 02,28,Married,Rural,No Education,5,Poorer,-58993
    00060296 02,24,Married,Rural,Primary,2,Poorer,-58782
    00060311 01,19,Married,Rural,Primary,1,Middle,-37290
    00060349 02,40,Married,Rural,No Education,5,Poorer,-61301
    00060349 04,15,Single,Rural,Secondary,0,Poorer,-61301
    00060373 01,45,Married,Rural,No Education,4,Poorer,-61522
    00060374 01,44,Married,Rural,No Education,7,Poorer,-55577
    00060378 01,29,Married,Rural,No Education,3,Poorer,-60539
    00060382 02,18,Married,Rural,Primary,1,Poorest,-66434
    00060389 01,28,Married,Rural,Primary,1,Poorest,-62922
    00060398 01,22,Married,Rural,Primary,3,Poorer,-60771
    00060440 01,35,Married,Rural,No Education,8,Middle,-35647
    00060462 02,42,Married,Rural,No Education,0,Poorer,-54579
    00070004 05,15,Single,Rural,No Education,0,Poorest,-119652
    00070024 01,46,Other,Rural,No Education,8,Poorest,-74778
    00070024 02,15,Single,Rural,No Education,0,Poorest,-74778
    00070025 01,18,Married,Rural,No Education,2,Poorest,-70986
    00070048 01,21,Married,Rural,No Education,2,Poorest,-84679
    00070171 01,25,Married,Rural,No Education,5,Poorest,-95872
    00070174 02,39,Married,Rural,No Education,7,Poorest,-99619
    00070190 02,25,Married,Rural,No Education,4,Poorest,-112177
    00070199 01,40,Married,Rural,No Education,7,Poorest,-101902
    00070267 02,21,Married,Rural,No Education,2,Poorest,-82859
    00070281 02,40,Married,Rural,No Education,9,Poorest,-102121
    00070292 01,28,Married,Rural,No Education,4,Poorest,-82528
    00070297 01,28,Married,Rural,Primary,5,Poorest,-115095
    00070312 02,41,Married,Rural,No Education,7,Poorest,-82258
    00070319 01,22,Married,Rural,No Education,3,Poorest,-93036
    00070330 02,45,Married,Rural,No Education,10,Poorest,-102093
    00070337 02,18,Single,Rural,No Education,0,Poorest,-76412
    00070337 03,16,Single,Rural,No Education,0,Poorest,-76412
    00070347 02,42,Married,Rural,No Education,8,Poorest,-121459
    00070372 01,33,Married,Rural,No Education,6,Poorest,-84587
    00070386 01,30,Married,Rural,No Education,6,Poorest,-98140
    00070417 01,38,Married,Rural,No Education,9,Poorest,-118125
    00070429 02,37,Married,Rural,No Education,8,Poorest,-88287
    00070480 02,41,Married,Rural,No Education,10,Poorest,-123566
    00080022 01,30,Married,Rural,No Education,4,Poorest,-84869
    00080031 01,42,Married,Rural,No Education,6,Poorest,-113849
    00080031 07,17,Married,Rural,No Education,0,Poorest,-113849
    00080040 02,29,Married,Rural,No Education,5,Poorest,-98144
    00080094 03,16,Single,Rural,No Education,0,Poorest,-105811
    00080106 02,29,Married,Rural,No Education,3,Middle,-39832
    00080108 02,30,Married,Rural,No Education,3,Poorest,-99456
    00080124 02,20,Married,Rural,No Education,2,Poorest,-99885
    00080129 02,39,Married,Rural,No Education,10,Poorest,-98532
    00080139 02,35,Married,Rural,No Education,9,Poorest,-97896
    00080139 03,16,Single,Rural,Primary,0,Poorest,-97896
    00080160 02,28,Married,Rural,No Education,5,Poorest,-69570
    00080183 02,30,Married,Rural,No Education,7,Poorest,-106794
    00080277 02,30,Married,Rural,No Education,6,Poorest,-89346
    00080324 02,20,Married,Rural,No Education,0,Poorest,-90149
    00080353 02,17,Married,Rural,No Education,0,Poorest,-71453
    00080353 03,17,Married,Rural,No Education,1,Poorest,-71453
    00080368 02,20,Married,Rural,No Education,2,Poorest,-107910
    00080390 02,35,Married,Rural,No Education,6,Poorest,-96106
    00080430 02,30,Married,Rural,No Education,5,Poorest,-115948
    00080463 02,25,Married,Rural,No Education,2,Poorest,-95770
    00080483 02,16,Married,Rural,No Education,0,Poorest,-87963
    00090005 02,25,Married,Rural,No Education,6,Poorest,-73820
    00090007 01,20,Married,Rural,Secondary,2,Richer,-22541
    00090009 01,26,Other,Rural,No Education,5,Poorest,-68045
    00090067 02,24,Married,Rural,Primary,2,Richer,-32428
    00090078 01,18,Married,Rural,Primary,0,Richer,-17190
    00090212 01,27,Married,Rural,No Education,5,Richer,-26054
    00090230 02,20,Other,Rural,Higher,0,Poorest,-65789
    00090239 01,20,Married,Rural,No Education,2,Poorer,-58812
    00090245 01,37,Married,Rural,No Education,7,Poorer,-58259
    00090249 01,35,Married,Rural,No Education,5,Poorest,-66909
    00090312 01,42,Married,Rural,No Education,7,Middle,-45706
    00090329 01,35,Married,Rural,No Education,3,Poorer,-51249
    00090396 02,25,Married,Rural,No Education,5,Poorer,-58645
    00090399 01,48,Other,Rural,No Education,7,Poorest,-81068
    00090438 05,15,Married,Rural,Secondary,0,Poorer,-56577
    00090460 01,21,Married,Rural,No Education,2,Poorest,-62088
    00090468 01,25,Married,Rural,No Education,3,Middle,-34909
    00090471 01,35,Married,Rural,No Education,7,Poorer,-52515
    00100009 02,32,Married,Rural,No Education,5,Middle,-33497
    00100009 03,16,Single,Rural,Primary,0,Middle,-33497
    00100012 03,40,Other,Rural,No Education,0,Middle,-45306
    00100015 02,21,Married,Rural,No Education,1,Middle,-43546
    00100030 02,26,Married,Rural,No Education,2,Middle,-41167
    00100063 02,30,Married,Rural,Primary,2,Richer,-13404
    00100063 05,22,Married,Rural,Primary,1,Richer,-13404
    00100079 02,40,Married,Rural,No Education,7,Richer,-16456
    00100112 01,46,Other,Rural,No Education,1,Middle,-43428
    00100140 02,20,Other,Rural,Primary,0,Middle,-40828
    00100148 02,21,Married,Rural,Secondary,0,Richer,-11407
    00100398 02,23,Married,Rural,Primary,2,Poorest,-62328
    00100422 02,37,Married,Rural,No Education,4,Middle,-38043
    00100423 02,33,Married,Rural,No Education,4,Middle,-32951
    00100433 02,43,Married,Rural,No Education,1,Richer,-22025
    00100437 02,31,Married,Rural,No Education,4,Poorer,-50218
    00100439 02,32,Married,Rural,No Education,2,Richest,-8420
    00100469 02,32,Married,Rural,No Education,4,Middle,-43062
    00100482 02,37,Married,Rural,No Education,4,Richer,-31480
    00110077 02,44,Married,Urban,Primary,4,Richest,211637
    00110129 02,33,Married,Urban,Secondary,3,Richest,264593
    00110129 05,40,Other,Urban,No Education,1,Richest,264593
    00110130 02,24,Married,Urban,Higher,1,Richest,170878
    00110130 07,19,Single,Urban,Primary,0,Richest,170878
    00110138 02,24,Married,Urban,Secondary,3,Richest,217102
    00110138 06,17,Single,Urban,Primary,0,Richest,217102
    00110139 02,28,Married,Urban,Primary,2,Richest,138839
    00110141 03,38,Single,Urban,Secondary,0,Richest,272293
    00110141 07,24,Single,Urban,Higher,0,Richest,272293
    00110141 08,25,Single,Urban,Primary,0,Richest,272293
    00110141 10,28,Married,Urban,Higher,0,Richest,272293
    00110141 11,18,Single,Urban,Primary,0,Richest,272293
    00110149 02,25,Married,Urban,Primary,1,Richest,155203
    00110149 04,16,Single,Urban,Primary,0,Richest,155203
    00110209 02,37,Married,Urban,Higher,2,Richest,220554
    00110209 05,22,Single,Urban,Primary,0,Richest,220554
    00110211 02,26,Single,Urban,Secondary,0,Richest,206430
    00110211 03,26,Single,Urban,Higher,0,Richest,206430
    00110214 02,41,Married,Urban,Primary,4,Richest,207716
    00110214 04,18,Single,Urban,Higher,0,Richest,207716
    00110223 03,38,Single,Urban,Primary,0,Richest,174139
    00110286 01,45,Married,Urban,Primary,4,Richest,270347
    00110286 02,28,Married,Urban,Secondary,2,Richest,270347
    00110286 05,17,Single,Urban,Secondary,0,Richest,270347
    00110318 02,20,Single,Urban,No Education,0,Richest,200961
    00110365 02,32,Married,Urban,Primary,3,Richest,138564
    00110365 04,16,Single,Urban,Primary,0,Richest,138564
    00110365 06,17,Single,Urban,Primary,0,Richest,138564
    00110365 07,17,Single,Urban,Primary,0,Richest,138564
    00110395 02,36,Married,Urban,Secondary,2,Richest,225942
    00110395 05,32,Single,Urban,Secondary,0,Richest,225942
    00110395 06,18,Single,Urban,Secondary,0,Richest,225942
    00110397 01,32,Other,Urban,Primary,1,Richest,57647
    00110397 02,17,Single,Urban,Primary,0,Richest,57647
    00110401 02,18,Single,Urban,Primary,0,Richest,114374
    00110422 03,39,Single,Urban,Secondary,0,Richest,199261
    00110422 07,15,Single,Urban,Primary,0,Richest,199261
    00110428 01,19,Single,Urban,Secondary,0,Richest,128603
    00110428 02,17,Single,Urban,Secondary,0,Richest,128603
    00110473 02,41,Married,Urban,Higher,2,Richest,236594
    00110478 02,23,Married,Urban,Primary,0,Richest,145991
    00110478 04,25,Married,Urban,Primary,1,Richest,145991
    00120028 02,38,Married,Rural,No Education,6,Middle,-46895
    00120055 02,40,Married,Rural,Primary,6,Richer,-23833
    00120055 03,15,Single,Rural,Primary,0,Richer,-23833
    00120073 02,42,Married,Rural,No Education,7,Richest,30233
    00120073 04,21,Single,Rural,Primary,0,Richest,30233
    00120083 02,34,Married,Rural,No Education,4,Poorer,-54884
    00120096 02,32,Married,Rural,Primary,7,Richer,-20436
    00120115 02,32,Married,Rural,No Education,3,Poorer,-47672
    00120123 02,21,Married,Rural,Primary,2,Middle,-39889
    00120155 02,28,Married,Rural,Higher,2,Richest,5637
    00120155 04,15,Single,Rural,Primary,0,Richest,5637
    00120185 02,38,Married,Rural,Primary,6,Richer,-12182
    00120200 03,30,Married,Rural,Primary,6,Richest,-3146
    00120202 02,35,Married,Rural,No Education,5,Richer,-17812
    00120235 04,22,Married,Rural,Primary,2,Poorer,-53061
    00120243 02,20,Married,Rural,Secondary,1,Poorer,-60068
    00120267 02,43,Married,Rural,No Education,6,Richer,-23057
    00120326 02,35,Married,Rural,No Education,6,Middle,-43184
    00120326 03,20,Single,Rural,Primary,0,Middle,-43184
    00120345 02,39,Married,Rural,No Education,8,Middle,-34432
    00120345 03,17,Single,Rural,Primary,0,Middle,-34432
    00120353 02,27,Married,Rural,Primary,2,Poorer,-54515
    00120375 02,28,Married,Rural,No Education,5,Richer,-17885
    00120394 02,29,Married,Rural,No Education,3,Middle,-37062
    00120415 02,30,Married,Rural,No Education,7,Richest,-2865
    00120418 02,24,Married,Rural,Primary,3,Richer,-15870
    00120424 02,48,Married,Rural,No Education,7,Middle,-34964
    00120454 02,25,Married,Rural,Primary,3,Richer,-11521
    00120483 02,28,Married,Rural,Primary,2,Richest,4352
    00130008 02,25,Married,Rural,Primary,2,Poorest,-67968
    00130012 01,40,Other,Rural,No Education,7,Poorest,-71866
    00130012 02,23,Married,Rural,Secondary,2,Poorest,-71866
    00130065 03,15,Single,Rural,Primary,0,Poorest,-73138
    00130109 01,35,Married,Rural,Primary,7,Poorer,-50845
    00130119 01,30,Married,Rural,No Education,3,Poorest,-86409
    00130119 02,16,Single,Rural,Primary,1,Poorest,-86409
    00130184 02,40,Married,Rural,No Education,5,Poorest,-78102
    00130239 02,48,Married,Rural,No Education,8,Poorest,-73430
    00130246 01,40,Other,Rural,No Education,5,Poorest,-80493
    00130272 02,16,Single,Rural,Primary,0,Richer,-26916
    00130293 01,25,Other,Rural,No Education,1,Poorer,-56056
    00130298 02,25,Married,Rural,Secondary,2,Poorest,-72312
    00130343 02,48,Married,Rural,No Education,4,Poorest,-74892
    00130379 03,23,Married,Rural,Primary,2,Poorest,-95146
    00130465 01,45,Other,Rural,No Education,5,Poorest,-72605
    00130465 03,15,Single,Rural,Primary,0,Poorest,-72605
    00130467 02,18,Single,Rural,Primary,1,Poorest,-63284
    00130471 01,25,Married,Rural,Primary,4,Poorer,-59839
    00140025 01,45,Other,Urban,Higher,0,Richest,197832
    00140083 02,27,Married,Urban,Primary,4,Richest,-8138
    00140084 02,46,Married,Urban,No Education,5,Richest,68585
    00140084 04,18,Single,Urban,Primary,0,Richest,68585
    00140102 01,22,Single,Urban,Higher,0,Richest,108535
    00140117 01,26,Married,Urban,Higher,0,Richest,125259
    00140125 02,32,Married,Urban,Higher,1,Richest,89209
    00140125 04,15,Single,Urban,Primary,0,Richest,89209
    00140128 02,35,Married,Urban,Primary,8,Richest,101594
    00140178 02,25,Married,Urban,Primary,2,Richest,60859
    00140247 01,27,Married,Urban,Higher,2,Richest,107083
    00140264 02,27,Married,Urban,Higher,1,Richest,92598
    00140268 03,18,Single,Urban,Secondary,0,Richest,18324
    00140268 04,15,Single,Urban,Secondary,0,Richest,18324
    00140286 02,24,Married,Urban,Higher,0,Richest,111611
    00140293 02,35,Married,Urban,No Education,6,Richest,5217
    00140293 03,17,Single,Urban,Secondary,0,Richest,5217
    00140306 02,32,Married,Urban,Higher,2,Richest,156523
    00140307 01,22,Married,Urban,Primary,1,Richer,-12199
    00140319 02,21,Married,Urban,Higher,1,Richest,116773
    00140336 01,45,Other,Urban,No Education,5,Richest,21020
    00140354 02,28,Married,Urban,Primary,2,Richest,99017
    00140355 02,25,Married,Urban,Higher,1,Richest,88472
    00140384 02,27,Married,Urban,Secondary,2,Richest,34762
    00140418 01,23,Married,Urban,Primary,2,Richest,70436
    00140478 02,22,Married,Urban,Higher,1,Richest,84663
    00150052 02,38,Married,Urban,Secondary,2,Richest,275345
    00150164 01,29,Married,Urban,Secondary,1,Richest,185476
    00150168 02,25,Single,Urban,Primary,0,Richest,192347
    00150188 03,39,Single,Urban,Secondary,0,Richest,206767
    00150223 02,35,Married,Urban,No Education,1,Richest,179964
    00150223 04,15,Single,Urban,Primary,0,Richest,179964
    00150252 03,15,Single,Urban,Primary,0,Richest,151376
    00150268 02,40,Married,Urban,No Education,5,Richest,201857
    00150268 03,26,Single,Urban,Secondary,0,Richest,201857
    00150268 04,23,Single,Urban,Higher,0,Richest,201857
    00150268 09,18,Single,Urban,No Education,0,Richest,201857
    00150271 02,20,Married,Urban,Higher,0,Richest,156436
    00150309 02,41,Single,Urban,Secondary,0,Richest,168809
    00150309 05,26,Single,Urban,Primary,0,Richest,168809
    00150315 02,27,Single,Urban,Higher,0,Richest,242398
    00150315 03,23,Single,Urban,Higher,0,Richest,242398
    00150315 04,39,Single,Urban,Secondary,0,Richest,242398
    00150383 02,47,Single,Urban,Secondary,0,Richest,208135
    00150405 04,17,Single,Urban,Primary,0,Richest,214306
    00150408 02,35,Married,Urban,Primary,1,Richest,78655
    00150449 01,23,Single,Urban,Higher,0,Richest,166837
    00150467 03,27,Single,Urban,Higher,0,Richest,217829
    00160005 01,46,Married,Rural,No Education,6,Poorest,-92191
    00160016 02,48,Married,Rural,No Education,7,Poorest,-110024
    00160036 01,40,Other,Rural,No Education,9,Poorest,-92499
    00160036 03,17,Single,Rural,Primary,0,Poorest,-92499
    00160050 02,25,Married,Rural,No Education,5,Poorest,-97354
    00160062 02,33,Married,Rural,No Education,6,Poorest,-83902
    00160127 01,35,Married,Rural,No Education,5,Poorest,-88614
    00160159 01,48,Married,Rural,No Education,8,Poorest,-111693
    00160250 02,46,Married,Rural,No Education,7,Poorest,-114369
    00160369 01,26,Married,Rural,No Education,4,Poorest,-103104
    00160384 02,35,Married,Rural,No Education,6,Poorest,-102445
    00160410 02,30,Married,Rural,No Education,7,Poorest,-90585
    00160431 02,38,Married,Rural,No Education,6,Poorest,-103548
    00160466 02,28,Married,Rural,No Education,6,Poorest,-106834
    00170012 02,28,Married,Urban,Primary,0,Richest,126166
    00170012 03,21,Single,Urban,Primary,0,Richest,126166
    00170048 01,40,Single,Urban,Primary,1,Richest,69326
    00170072 02,34,Married,Urban,Primary,2,Richer,-9602
    00170072 05,20,Single,Urban,Secondary,0,Richer,-9602
    00170074 01,42,Married,Urban,No Education,2,Richest,90948
    00170074 02,21,Single,Urban,Higher,0,Richest,90948
    00170125 02,37,Married,Urban,Primary,1,Richest,151858
    00170125 03,15,Single,Urban,Primary,0,Richest,151858
    00170125 05,16,Single,Urban,Primary,0,Richest,151858
    00170199 01,39,Other,Urban,Primary,2,Richest,81527
    00170267 01,21,Single,Urban,Higher,0,Richest,80853
    00170267 02,22,Single,Urban,Higher,0,Richest,80853
    00170285 02,28,Married,Urban,Secondary,2,Richest,93576
    00170337 02,27,Single,Urban,Secondary,0,Richest,14945
    00170351 02,48,Married,Urban,No Education,5,Richest,99836
    00170351 03,17,Single,Urban,Secondary,0,Richest,99836
    00170351 04,20,Single,Urban,Higher,0,Richest,99836
    00170390 02,30,Married,Urban,Secondary,2,Richest,211345
    00170390 05,16,Single,Urban,Secondary,0,Richest,211345
    00170394 01,22,Married,Urban,Secondary,1,Richest,107217
    00170401 01,45,Married,Urban,Primary,2,Richest,15282
    00170406 01,32,Married,Urban,No Education,3,Richest,42318
    00170412 02,30,Married,Urban,Primary,4,Richest,58542
    00170417 02,25,Married,Urban,No Education,3,Richest,60439
    00170480 02,23,Married,Urban,Primary,0,Richest,24381
    00170482 02,20,Married,Urban,Primary,0,Richest,77309
    00180064 02,25,Married,Urban,Secondary,2,Richest,83213
    00180072 02,19,Single,Urban,Secondary,0,Richest,190554
    00180144 01,33,Married,Urban,Primary,2,Richest,139607
    00180179 02,41,Married,Urban,No Education,3,Richest,188633
    00180179 04,17,Single,Urban,Secondary,0,Richest,188633
    00180179 06,19,Single,Urban,No Education,0,Richest,188633
    00180189 02,27,Married,Urban,Secondary,1,Richest,115574
    00180199 01,35,Other,Urban,Primary,0,Richest,90738
    00180230 01,28,Married,Urban,Higher,1,Richest,100620
    00180258 01,43,Married,Urban,Secondary,0,Richest,158040
    00180291 02,28,Other,Urban,Secondary,3,Richest,132839
    00180291 03,29,Single,Urban,Secondary,0,Richest,132839
    00180291 04,24,Married,Urban,Higher,0,Richest,132839
    00180311 02,26,Married,Urban,Secondary,2,Richest,155031
    00180329 02,25,Married,Urban,Higher,0,Richest,159906
    00180358 02,28,Married,Urban,Primary,2,Richest,126426
    00180367 03,22,Single,Urban,Secondary,0,Richest,137032
    00180436 01,39,Married,Urban,Secondary,4,Richest,179731
    00180445 02,30,Married,Urban,Higher,0,Richest,242792
    00180463 01,18,Other,Urban,Primary,1,Richest,16615
    00180483 02,34,Married,Urban,Higher,2,Richest,226778
    00180483 05,19,Single,Urban,Primary,0,Richest,226778
    00190004 01,23,Married,Urban,Higher,0,Richest,256762
    00190006 04,19,Single,Urban,No Education,0,Richest,208198
    00190010 02,26,Married,Urban,Secondary,1,Richest,190885
    00190043 02,23,Married,Urban,Primary,0,Richest,139471
    00190058 02,28,Married,Urban,Higher,1,Richest,188206
    00190065 02,48,Married,Urban,Secondary,2,Richest,183073
    00190068 01,44,Single,Urban,Secondary,2,Richest,179960
    00190072 02,24,Married,Urban,Primary,1,Richest,188014
    00190101 02,30,Married,Urban,Higher,0,Richest,206430
    00190130 01,34,Other,Urban,Secondary,1,Richest,170597
    00190135 01,31,Married,Urban,Higher,0,Richest,273905
    00190135 02,17,Single,Urban,Primary,0,Richest,273905
    00190141 01,39,Single,Urban,Higher,2,Richest,200732
    00190141 03,18,Single,Urban,Primary,0,Richest,200732
    00190227 02,18,Single,Urban,No Education,0,Richest,266626
    00190264 02,35,Married,Urban,Primary,2,Richest,141682
    00190267 02,30,Married,Urban,Higher,1,Richest,268449
    00190267 04,18,Single,Urban,Primary,0,Richest,268449
    00190274 01,27,Single,Urban,Higher,0,Richest,154125
    00190285 05,19,Single,Urban,Primary,0,Richest,237133
    00190285 06,17,Single,Urban,Secondary,0,Richest,237133
    00190351 02,26,Married,Urban,Secondary,0,Richest,272120
    00190353 01,35,Married,Urban,Secondary,1,Richest,170747
    00190361 01,40,Single,Urban,Primary,0,Richest,87871
    00190425 02,44,Married,Urban,Higher,2,Richest,265161
    00190425 03,24,Single,Urban,Higher,0,Richest,265161
    00190427 02,39,Married,Urban,Secondary,2,Richest,126425
    00190467 02,34,Single,Urban,Primary,0,Richest,242055
    00200044 02,48,Married,Rural,Primary,6,Middle,-34129
    00200062 02,31,Single,Rural,Secondary,0,Richer,-29753
    00200062 04,19,Single,Rural,Primary,0,Richer,-29753
